id,url,name,rating,about,address,address_url,price_range,cuisines,features,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,img1_url,img2_url,img3_url,preferences
1,https://www.tripadvisor.com/Restaurant_Review-g664666-d25569055-Reviews-Sendja_Kardia-Gili_Trawangan_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara.html,Sendja@Kardiá,5.0,"Sendja (meaning twilight) @Kardia is an exquisitely crafted open-air restaurant and bar with 60 seating capacity by the beachside, offering you a beautiful sunset and Mount Agung view at Gili Trawangan. Serves a la carte breakfast, lunch and dinner daily in a relaxed, convivial atmosphere. Enjoy & entertain yourself with a sip of cocktails during the daily sunset happy hour.","Gili Indah, Pemenang, North Lombok Regency Kardia Resort By Pramana, Pemenang, West Nusa Tenggara Indonesia","https://maps.apple.com/maps?saddr=&daddr=Gili Indah, Pemenang, North Lombok Regency Kardia Resort By Pramana, Pemenang, West Nusa Tenggara Indonesia@-8.352999,116.02895",$$-$$$,"['Bar', 'Barbecue', 'Asian', 'Contemporary', 'Healthy', 'Indonesian', 'Caucasian']","['Accepts Credit Cards', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/00/8b/81/experience-an-enchanting.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/26/01/flaky-croissant.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/26/00/big-island-burger.jpg?w=900&h=500&s=1,"['gili t', 'fire show', 'delicious food', 'lunch and dinner', 'every night', 'our honeymoon', 'great stay', 'great hotel', 'stayed here for nights', 'place to stay', 'pool bar', 'beautiful sunset', 'sea view', 'enjoyed our stay', 'amazing place', 'perfect spot', 'moyo', 'island', 'resort']"
2,https://www.tripadvisor.com/Restaurant_Review-g664666-d12909773-Reviews-Tiki_Grove-Gili_Trawangan_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara.html,Tiki Grove,5.0,"Indonesia's first genuine Tiki Bar. Nestled in a coconut grove 300 meters from the beach, Tiki Grove gives an authentic tropical experience. Hand crafted cocktails and Tropical Fusion cuisine. Chill out and relax under the palm trees.","Kelapa Road, Lombok, Pemenang, West Nusa Tenggara 83352 Indonesia","https://maps.apple.com/maps?saddr=&daddr=Kelapa Road, Lombok, Pemenang, West Nusa Tenggara 83352 Indonesia@-8.346271,116.03862",$$-$$$,"['Mexican', 'Southwestern', 'Polynesian', 'Hawaiian']","['Accepts Credit Cards', 'Digital Payments', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Takeout', 'Visa', 'Wheelchair Accessible', 'Wine and Beer']",3:00 PM-10:30 PM,Closed,3:00 PM-10:30 PM,3:00 PM-10:30 PM,3:00 PM-10:30 PM,3:00 PM-10:30 PM,3:00 PM-10:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ac/6a/6c/getlstd-property-photo.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6f/83/1c/see-you-in-april.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/01/da/60/front-entrance.jpg?w=900&h=500&s=1,"['tacos', 'chicken', 'fries', 'shark bites', 'gili t', 'amazing food', 'great atmosphere', 'hot sauce', 'amazing place', 'the main strip', 'every night', 'cool vibe', 'stir fry', 'great drinks', 'fresh ingredients', 'during our stay', 'mexican food', 'signature cocktails', 'mai tai']"
3,https://www.tripadvisor.com/Restaurant_Review-g664667-d24969359-Reviews-Italy_Pizzeria_Restaurant_Gili_Air-Gili_Air_Gili_Islands_Pemenang_Lombok_West_Nu.html,Italy Pizzeria & Restaurant. Gili Air,5.0,Indulge in the authentic taste of Italy with our mouthwatering dishes made following our traditions.,"Sunset Boulevard, Pemenang, West Nusa Tenggara 83352 Indonesia","https://maps.google.com/maps?saddr=&daddr=Sunset Boulevard, Pemenang, West Nusa Tenggara 83352 Indonesia@-8.353734,116.077995",$$-$$$,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Romana', 'Lazio', 'Central-Italian']","['Full Bar', 'Mastercard', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa']",10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,10:00 AM-10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/46/57/f2/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/23/54/e9/strawberry-cheesecake.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/23/54/e8/callebaut-belgian-chocolate.jpg?w=900&h=500&s=1,"['pasta', 'tiramisu', 'focaccia', 'hawaiian pizza', 'cakes', 'best pizza', 'italian food', 'amazing food', 'beautiful restaurant', 'great atmosphere', 'during our stay', 'dinner spot', 'small island', 'indonesia', 'vibe', 'harbour', 'gili', 'generator', 'parmigiana', 'power']"
4,https://www.tripadvisor.com/Restaurant_Review-g664667-d13833287-Reviews-Aura_Bowls-Gili_Air_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara.html,Aura Bowls,5.0,"A family restaurant serving local, healthy, fresh meals and healthy mixed fruit bowls. Many delicious smoothies Made to order as well all served with a smile.","Pemenang, West Nusa Tenggara 83352 Indonesia","https://maps.apple.com/maps?saddr=&daddr=Pemenang, West Nusa Tenggara 83352 Indonesia@-8.361959,116.08507",$,"['Asian', 'Healthy', 'Indonesian', 'Central Asian']","['Outdoor Seating', 'Seating', 'Table Service', 'Takeout', 'Wheelchair Accessible']",8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b1/cb/ba/20181209-144447-largejpg.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/67/79/10/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/67/79/0f/caption.jpg?w=900&h=500&s=1,"['curry', 'mango', 'rice', 'nasi goreng', 'eggplant', 'local food', 'fresh juice', 'island', 'bali']"
5,https://www.tripadvisor.com/Restaurant_Review-g664666-d17435154-Reviews-Francesco_s_Pizza-Gili_Trawangan_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara.html,Francesco's Pizza,5.0,"Our restaurant is located in a small street opposite the harbour. Here you'll find the true Italian essence with traditional homemade pizzas, piadinas, lasagnas and pasta. We love our job and we use only genuine high quality products.","Jl. Bintang Laut, Pemenang, West Nusa Tenggara 83352 Indonesia","https://maps.apple.com/maps?saddr=&daddr=Jl. Bintang Laut, Pemenang, West Nusa Tenggara 83352 Indonesia@-8.354446,116.042885",$$-$$$,"['Italian', 'Pizza']","['Delivery', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9a/f0/22/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6c/f0/c3/caprese-pizza.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6c/f9/20/shrims-and-calamari-pizza.jpg?w=900&h=-1&s=1,"['pizza', 'salad', 'tiramisu', 'calamari', 'gili t', 'italian food', 'amazing food', 'italian owner', 'sat upstairs', 'the main road', 'quick service', 'during our stay', 'island', 'crust', 'indonesia', 'toppings', 'yummy', 'vegan', 'margarita']"
6,https://www.tripadvisor.com/Restaurant_Review-g2155769-d19596119-Reviews-The_Hut_Restaurant_Kuta-Kuta_Lombok_West_Nusa_Tenggara.html,The Hut Restaurant Kuta,5.0,Cafe Restaurant International Vegetarian Friendly Vegan Options Healthy Food Food Made Good Board Games,"Jl. Raya Kuta No.5, Kuta, Lombok 83573 Indonesia","https://maps.apple.com/maps?saddr=&daddr=Jl. Raya Kuta No.5, Kuta, Lombok 83573 Indonesia@-8.889975,116.27657",$,"['Cafe', 'International', 'Asian', 'Fusion', 'Healthy']","['Delivery', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",8:30 AM-10:30 PM,8:30 AM-10:30 PM,8:30 AM-10:30 PM,8:30 AM-10:30 PM,8:30 AM-10:30 PM,8:30 AM-10:30 PM,8:30 AM-10:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d5/8e/4f/the-hut-restaurant-kuta.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/2c/2c/3f/getlstd-property-photo.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/67/41/86/caption.jpg?w=900&h=500&s=1,"['chicken curry', 'salad', 'nasi goreng', 'delicious food', 'good vibes', 'lombok', 'pita', 'ginger']"
7,https://www.tripadvisor.com/Restaurant_Review-g2155769-d23710660-Reviews-Cantina_Mexicana_Kuta_Lombok-Kuta_Lombok_West_Nusa_Tenggara.html,Cantina Mexicana Kuta Lombok,5.0,"We are a lively Cantina with back yard vibes, you can come for a great night out with Baja inspired cocktails and some of the best Mexican food in Indonesia. The food is diverse and flavorful with inspiration from all over Mexico. The drinks are fresh, light and fruity and guests can also sip on some the best imported tequilas and mezcal in Lombok.","Jalan Raya Kuta 6, Kuta, Lombok 83753 Indonesia","https://maps.google.com/maps?saddr=&daddr=Jalan Raya Kuta 6, Kuta, Lombok 83753 Indonesia@-8.890529,116.27698",$,"['Mexican', 'Bar', 'Street Food', 'Dining bars']","['Accepts Credit Cards', 'Cash Only', 'Delivery', 'Family style', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Gift Cards Available', 'Highchairs Available', 'Live Music', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Sports bars', 'Street Parking', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']",12:00 PM-11:00 PM,12:00 PM-11:00 PM,12:00 PM-11:00 PM,12:00 PM-11:00 PM,12:00 PM-11:00 PM,12:00 PM-11:00 PM,12:00 PM-11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/22/ff/ef/satu-lagi-cantina-mexicana.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/24/b8/f7/as-the-sun-goes-down.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/4d/ba/ed/tlayuda-the-mexican-pizza.jpg?w=900&h=500&s=1,"['tacos', 'chicken', 'tasty food', 'great music', 'super fun', 'super tasty', 'our short stay', 'cool vibe', 'margaritas', 'lombok', 'vibes', 'jackfruit', 'yum', 'bite']"
8,https://www.tripadvisor.com/Restaurant_Review-g2155769-d17304422-Reviews-La_Cabana_Lombok-Kuta_Lombok_West_Nusa_Tenggara.html,La Cabana Lombok,5.0,Full Bar,"Jl. Mawun Sikara Lombok Hotel, Kuta, Lombok 83573 Indonesia","https://maps.apple.com/maps?saddr=&daddr=Jl. Mawun Sikara Lombok Hotel, Kuta, Lombok 83573 Indonesia@-8.890003,116.273766",$$-$$$,"['International', 'Mediterranean', 'Spanish', 'Healthy', 'Indonesian', 'Catalan']","['Full Bar', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/22/dc/2b/get-50-discount-for-the.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/07/e2/grilled-chicken-sandwich.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/07/dd/the-best-paella-in-kuta.jpg?w=900&h=500&s=1,"['paella', 'good vibes', 'lombok', 'resto']"
9,https://www.tripadvisor.com/Restaurant_Review-g664667-d14203346-Reviews-Musa_Cookery-Gili_Air_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara.html,Musa Cookery,5.0,Outdoor Seating,"Jalan Bambu, Gili Indah, Kec. Pemenang, Kabupaten Lombok Utara, Pemenang, West Nusa Tenggara 83352 Indonesia","https://maps.apple.com/maps?saddr=&daddr=Jalan Bambu, Gili Indah, Kec. Pemenang, Kabupaten Lombok Utara, Pemenang, West Nusa Tenggara 83352 Indonesia@-8.354433,116.08264",$,['Healthy'],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout']",9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/de/21/31/photo0jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e4/f0/aa/hidden-little-gem-such.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/66/61/8d/matcha-chia-pudding-and.jpg?w=900&h=500&s=1,"['burger', 'amazing vegetarian food', 'fresh food', 'super friendly staff', 'island', 'vibe', 'coconut']"
10,https://www.tripadvisor.com/Restaurant_Review-g2155769-d10378323-Reviews-KRNK_Restaurant_Bar-Kuta_Lombok_West_Nusa_Tenggara.html,KRNK Restaurant & Bar,4.5,"KRNK Kuta Lombok is a restaurant bar that specialises in burgers, Pizza, cocktails and art. Inspired by south Lombok lifestyle and years of travel, the menu is cooked using the highest quality local and imported ingredients. the design is all using recycled materials to create a hangout space for everyone looking for a unique experience. The vibe is laid back and the service is casual. KRNK offer the best food delivery service in town, always responding and quick delivery free of charge.","Jl. Raya Kuta no. 5 In Front Of El Bazar And Kenza Cafe, Kuta, Lombok 83573 Indonesia","https://maps.apple.com/maps?saddr=&daddr=Jl. Raya Kuta no. 5 In Front Of El Bazar And Kenza Cafe, Kuta, Lombok 83573 Indonesia@-8.890721,116.277",$$-$$$,"['Bar', 'Pizza', 'International', 'Mediterranean', 'Grill']","['Cash Only', 'Drive Thru', 'Family style', 'Free off-street parking', 'Free Wifi', 'Reservations', 'Seating', 'Street Parking', 'Table Service', 'Takeout', 'Wheelchair Accessible', 'Wine and Beer']",11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,11:00 AM-11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/2b/53/12/always-on-fire-and-ready.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/c5/83/f1/the-burger.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/dd/a4/13/kura-kura-beer-in-krnk.jpg?w=900&h=500&s=1,"['pizza', 'parmesan fries', 'beef', 'juice', 'dirty burger', 'lombok', 'cocktails', 'vibe', 'chill', 'bowl']"
